step,protocol,dependencies
CreatePaddedTargets,protocols/CreatePaddedTargets.sh,
Fastqc,protocols/Fastqc.sh,
BwaMemAlignment,protocols/BwaMem.sh,
#RmDupsNugene,protocols/NugeneRmDups.sh,BwaMemAlignment
#AddOrReplaceReadGroupsNugene,protocols/AddOrReplaceReadGroups.sh,NugeneRmDups;bwaSam=nugeneNodupsBam;addOrReplaceReadGroupsBam=nugeneAddOrReplaceGroupsBam;addOrReplaceReadGroupsBai=nugeneAddOrReplaceGroupsBai;addOrReplaceGroupsDir=nugeneAddOrReplaceGroupsDir
#CalculateHsMetricsNugene,protocols/CalculateHsMetrics.sh,NugeneRmDups;markDuplicatesBam=nugeneAddOrReplaceGroupsBam;markDuplicatesBai=nugeneAddOrReplaceGroupsBai;calculateHsMetricsDir=nugeneCalculateHsMetricsDir;calculateHsMetricsLog=nugeneCalculateHsMetricsLog;calculateHsMetricsPerTargetCov=nugeneCalculateHsMetricsPerTargetCov
AddOrReplaceReadGroups,protocols/AddOrReplaceReadGroups.sh,BwaMemAlignment
MergeBamFiles,protocols/MergeBamFiles.sh,AddOrReplaceReadGroups
MarkDuplicates,protocols/MarkDuplicates.sh,MergeBamFiles
#Manta,protocols/MantaSV.sh,MarkDuplicates;mantaConfigType=mantaConfigTypeExome
#CollectRnaSeqMetrics,protocols/CollectRnaSeqMetrics.sh,MarkDuplicates
CollectMultipleMetrics,protocols/CollectMultipleMetrics.sh,MarkDuplicates
CalculateHsMetrics,protocols/CalculateHsMetrics.sh,MarkDuplicates
SampleMarkdown,protocols/SampleMarkdown.sh,CalculateHsMetrics;CollectMultipleMetrics;Fastqc;MarkDuplicates;fastqcCleanDir=fastqcDir;reads1FqGzClean=reads1FqGz;reads2FqGzClean=reads2FqGz
#HtseqCount,protocols/HtseqCount.sh,MarkDuplicates
#FluxCapacitor,protocols/FluxCapacitor.sh,MarkDuplicates
#GatkSplitAndTrim,protocols/GatkSplitAndTrim.sh,MarkDuplicates
#GatkRealignerTargetCreator,protocols/GatkRealignerTargetCreator.sh,GatkSplitAndTrim
#GatkIndelRealignment,protocols/GatkIndelRealignment.sh,GatkRealignerTargetCreator
IndelRealignmentKnown,protocols/GatkIndelRealignmentKnown.sh,MarkDuplicates
BQSR,protocols/GatkBQSR.sh,IndelRealignmentKnown
AnalyseCovariants,protocols/GatkAnalyseCovariants.sh,BQSR
HaplotypeCaller,protocols/GatkHaplotypeCaller.sh,BQSR;CreatePaddedTargets
#Catvariants,protocols/CatVariants.sh,HaplotypeCaller
MergeVariants,protocols/MergeVcfs.sh,HaplotypeCaller
VariantAnnotation,protocols/GatkSnpEffVariantAnnotation.sh,MergeVariants
CustTumorNormalAnnotations,protocols/CustTumorNormalAnnotations.sh,VariantAnnotation
SelectIndelsWithPolymorfic,protocols/GatkSelectIndelsWithPolyMorfic.sh,CustTumorNormalAnnotations
SelectSNVWithPolymorfic,protocols/GatkSelectSNVWithPolyMorfic.sh,CustTumorNormalAnnotations
IndelVariantsToTable,protocols/GatkVariantsToTable.sh,SelectIndelsWithPolymorfic;vcf=indelMnpWithPolymorficVcf;variantTable=indelMnpTable;variantRawTable=indelMnpRawTable
SNVVariantsToTable,protocols/GatkVariantsToTable.sh,SelectSNVWithPolymorfic;vcf=snvWithPolymorficVcf;variantTable=snvTable;variantRawTable=snvRawTable
IndelVariantsToDescriptionTable,protocols/GenerateTableDescr.sh,SelectIndels;vcf=indelMnpWithPolymorficVcf;descrTable=indelMnpDescrTable
SNVVariantsToDescriptionTable,protocols/GenerateTableDescr.sh,SelectSNV;vcf=snvWithPolymorficVcf;descrTable=snvDescrTable
TablesToXlsx,protocols/TablesToXlsx.sh,IndelVariantsToTable;SNVVariantsToTable;SNVVariantsToDescriptionTable;IndelVariantsToDescriptionTable
Varscan2,protocols/Varscan2.sh,IndelRealignmentKnown;HaplotypeCaller
PlotGenome,protocols/Plotgenome.sh,Varscan2;SNVVariantsToTable
Cleanup,protocols/CleanUpProject.sh,PlotGenome;TablesToXlsx;CalculateHsMetrics;CollectMultipleMetrics;Fastqc;AnalyseCovariants;TablesToXlsx;HaplotypeCaller
#HaplotypeCallerGvcf,protocols/GatkHaplotypeCallerGvcf.sh,IndelRealignmentKnown;
#MergeGvcfs,protocols/GatkMergeGvcfs.sh,HaplotypeCallerGvcf
#GenotypeGvcfs,protocols/GatkGenotypeGvcfs.sh,MergeGvcfs
#GVariantAnnotation,protocols/GatkSnpEffVariantAnnotation.sh,GenotypeGvcfs;BSQR;haplotyperVcf=genotypedVcf;haplotyperVcfIdx=genotypedVcfIdx;annotatorDir=gannotatorDir;snpEffVcf=gsnpEffVcf;snpEffVcfIdx=gsnpEffVcfIdx;annotVcf=gannotVcf;annotVcfIdx=gannotVcfIdx;
