step,protocol,dependencies
CreatePaddedTargets,protocols/CreatePaddedTargets.sh,
Fastqc,protocols/Fastqc.sh,
#FusionCatcher,protocols/FusionCatcher.sh,
NugenePreRnaAlign,protocols/NugenePreAlign.sh,probeBed=probeRnaBed
FusionCatcher,protocols/FusionCatcher.sh,NugenePreRnaAlign;reads1FqGz=nugeneReads1FqGz;reads2FqGz=nugeneReads2FqGz
FastqcNugene,protocols/Fastqc.sh,NugenePreRnaAlign;fastqcDir=nugeneFastqDir;reads1FqGz=nugeneReads1FqGz;reads2FqGz=nugeneReads2FqGz
StarIndex,protocols/STARindex.sh,
StarAlign,protocols/STAR.sh,NugenePreRnaAlign;StarIndex;reads1FqGz=nugeneReads1FqGz;reads2FqGz=nugeneReads2FqGz
#Hisat2Alignment,protocols/Hisat2.sh,onekgGenomeFastaIdxBase=hisat2IdxBase;NugenePreRnaAlign;reads1FqGz=nugeneReads1FqGz;reads2FqGz=nugeneReads2FqGz
TrimByBed,protocols/TrimByBed.sh,StarAlign;probeBed=probeRnaBed;bwaSam=starSam
AddOrReplaceReadGroups,protocols/AddOrReplaceReadGroups.sh,TrimByBed;bwaSam=trimByBedBam
AddMateCigar,protocols/AddMateCigar.sh,AddOrReplaceReadGroups;bwaSam=addOrReplaceReadGroupsBam
NugeneBcSplitter,protocols/NugeneBcSplitter.sh,AddMateCigar;addOrReplaceReadGroupsBam=mateCigarBam
MergeBamFiles,protocols/MergeBamFiles.sh,NugeneBcSplitter;addOrReplaceReadGroupsBam=nugeneBam;addOrReplaceReadGroupsBai=nugeneBai
HtseqCountDups,protocols/HtseqCount.sh,MergeBamFiles;markDuplicatesBam=mergeBamFilesBam;markDuplicatesBai=mergeBamFilesBai;htseqDir=htseqDupsDir;htseqTsv=htseqDupsTsv
MergeExpressionDupTables,protocols/MergeExpressionTables.sh,HtseqCountDups;htseqTsv=htseqDupsTsv;htseqTable=htseqDupsTable;htseqXlsx=htseqDupsXlsx
MarkDuplicates,protocols/MarkDuplicates.sh,MergeBamFiles
NugeneProbeMetrics,protocols/NugeneProbeMetrics.sh,IndelRealignmentKnown;MarkDuplicates;probeBed=probeRnaBed;indelRealignmentBam=markDuplicatesBam;indelRealignmentBai=markDuplicatesBai
MergeNugeneCNRTables,protocols/MergeNugeneCNRTables.sh,NugeneProbeMetrics
#MantaSV,protocols/MantaSV.sh,MarkDuplicates;mantaConfigType=mantaConfigTypeRna
#SnpEffManta,protocols/SnpEffAnnotManta.sh,MantaSV
#SvVariantsToDescriptionTable,protocols/GenerateTableDescr.sh,SnpEffManta;vcf=snpeffMantaVcf;descrTable=svDescrTable
#SvVariantsToTable,protocols/GatkVariantsToTable.sh,SnpEffManta;vcf=snpeffMantaVcf;variantTable=svTable;variantRawTable=svRawTable
#SvVariantsToMinTable,protocols/GatkVariantsToTable.sh,SnpEffManta;vcf=snpeffMantaVcf;variantTable=svMinTable;variantRawTable=svMinRawTable;variantFields=variantFieldsLimited
HtseqCount,protocols/HtseqCount.sh,MarkDuplicates
