step,protocol,dependencies
CreatePaddedTargets,protocols/CreatePaddedTargets.sh,
Fastqc,protocols/Fastqc.sh,
#FusionCatcher,protocols/FusionCatcher.sh,
NugenePreRnaAlign,protocols/NugenePreAlign.sh,probeBed=probeRnaBed
FusionCatcher,protocols/FusionCatcher.sh,NugenePreRnaAlign;reads1FqGz=nugeneReads1FqGz;reads2FqGz=nugeneReads2FqGz
FastqcNugene,protocols/Fastqc.sh,NugenePreRnaAlign;fastqcDir=nugeneFastqDir;reads1FqGz=nugeneReads1FqGz;reads2FqGz=nugeneReads2FqGz
Hisat2Alignment,protocols/Hisat2.sh,onekgGenomeFastaIdxBase=hisat2IdxBase;NugenePreRnaAlign;reads1FqGz=nugeneReads1FqGz;reads2FqGz=nugeneReads2FqGz
#TrimByBed,protocols/TrimByBed.sh,Hisat2Alignment;probeBed=probeRnaBed;bwaSam=hisat2Sam
AddOrReplaceReadGroups,protocols/AddOrReplaceReadGroups.sh,TrimByBed;bwaSam=trimByBedBam
NugeneBcSplitter,protocols/NugeneBcSplitter.sh,AddOrReplaceReadGroups
MergeBamFiles,protocols/MergeBamFiles.sh,NugeneBcSplitter;addOrReplaceReadGroupsBam=nugeneBam;addOrReplaceReadGroupsBai=nugeneBai
MarkDuplicates,protocols/MarkDuplicates.sh,MergeBamFiles
#SnortByName,protocols/SortByName.sh,MarkDuplicates
TrimByBed,protocols/TrimByBed.sh,SnortByName;probeBed=probeRnaBed;bwaSam=markDuplicatesBam
