################################################################################
##Reference Data
#

genomeLatSpecies,Homo_sapiens
genomeSpecies,human
genomeBuild,hg38
genomeGrchBuild,GRCh38
ensemblVersion,86
#/data/umcg-mterpstra/apps/data/ftp.broadinstitute.org/bundle/bundle17jan2020/hg38/Homo_sapiens_assembly38.fasta
bundle,${data}/genomics-public-data/resources/broad/${genomeBuild}/v0/
broadReferencesBundle,${data}/gcp-public-data--broad-references/hg38/v0/
#onekgGgenomeDecoyFasta,${resDir}/${genomeBuild}/indices/human_g1k_v37_decoy.fasta
onekgGenomeFasta,${bundle}/Homo_sapiens_assembly38.fasta
onekgGenomeFastaIdxBase,${bundle}/Homo_sapiens_assembly38.fasta
onekgGenomeFastaDict,${bundle}/Homo_sapiens_assembly38.dict

goldStandardVcf,${broadReferencesBundle}/Mills_and_1000G_gold_standard.indels.hg38.vcf.gz
goldStandardVcfIdx,${goldStandardVcf}.tbi

oneKgPhase1SnpsVcf,${broadReferencesBundle}/1000G_phase1.snps.high_confidence.hg38.vcf.gz
oneKgPhase1SnpsVcfIdx,${oneKgPhase1SnpsVcf}.tbi
oneKgPhase1IndelsVcf,${broadReferencesBundle}/Mills_and_1000G_gold_standard.indels.hg38.vcf.gz
oneKgPhase1IndelsVcfIdx,${oneKgPhase1IndelsVcf}.tbi

#oneKgPhase3v4Vcf,${bundle}/1000G_phase3_v4_20130502.sites.vcf.gz
#oneKgPhase3v4VcfIdx,${oneKgPhase3v4Vcf}.tbi

popStratifiedVcf,${bundle}/hapmap_3.3_grch38_pop_stratified_af.vcf.gz
popStratifiedVcfIdx,${popStratifiedVcf}.tbi
#phase 3 indels / snps
#${resDir}/${genomeBuild}/variants/1000G_Phase3/ALL.wgs.phase3_shapeit2_mvncall_integrated_v5.20130502.sites.vcf.gz

dbsnp138Vcf,${broadReferencesBundle}/Homo_sapiens_assembly38.dbsnp138.vcf.gz
dbsnp138VcfIdx,${dbsnp138Vcf}.tbi
dbsnpVcf,${dbsnp138Vcf}
dbsnpVcfIdx,${dbsnp138VcfIdx}

#see gnomad v3
#exacVcf,/apps/data/gnomAD/v3.1.1/gnomad.genomes.v3.1.1.sites.stripped.vcf.gz
#exacVcfIdx,${exacVcf}.tbi

#limit to known realignment when using haplotype caller because the haplotypecaller will consider multiple haplotypes instead of one when the GatkRealignerTargetCreator step is used.
#indelRealignmentTargets,${data}/intervals/1000G_phase1.indels_Mills_and_1000G_gold_standard.indels.b37.human_g1k_v37.intervals
indelRealignmentTargets,${bundle}/Mills_and_1000G_gold_standard.indels.hg38.vcf.gz

#snpEff / snipsift
#snpEff database resources...
#/data/umcg-mterpstra/apps/data/snpEff/4.3/GRCh38.86/
snpeffDataDir,${data}/snpEff/4.3/
snpeffGrcData,${snpeffDataDir}/${genomeGrchBuild}.${ensemblVersion}/
motifBin,${snpeffGrcData}/motif.bin
nextProtBin,${snpeffGrcData}/nextProt.bin
pwmsBin,${snpeffGrcData}/pwms.bin
regulation_CD4Bin,${snpeffGrcData}/regulation_CD4.bin
regulation_GM06990Bin,${snpeffGrcData}/regulation_GM06990.bin
regulation_GM12878Bin,${snpeffGrcData}/regulation_GM12878.bin
regulation_H1ESCBin,${snpeffGrcData}/regulation_H1ESC.bin
regulation_HeLaS3Bin,${snpeffGrcData}/regulation_HeLa-S3.bin
regulation_HepG2Bin,${snpeffGrcData}/regulation_HepG2.bin
regulation_HMECBin,${snpeffGrcData}/regulation_HMEC.bin
regulation_HSMMBin,${snpeffGrcData}/regulation_HSMM.bin
regulation_HUVECBin,${snpeffGrcData}/regulation_HUVEC.bin
regulation_IMR90Bin,${snpeffGrcData}/regulation_IMR90.bin
#regulation_K562bBin,${snpeffGrcData}/regulation_K562b.bin
regulation_K562Bin,${snpeffGrcData}/regulation_K562.bin
regulation_NHABin,${snpeffGrcData}/regulation_NH-A.bin
regulation_NHEKBin,${snpeffGrcData}/regulation_NHEK.bin
snpEffectPredictorBin,${snpeffGrcData}/snpEffectPredictor.bin

#snpSift database resources
dbnsfp,${data}/dbNSFP/4.0a/dbNSFP4.0a.txt.gz
dbnsfpTbi,${dbnsfp}.tbi

#gnomad genome data
gnomadDir,${data}/storage.googleapis.com/gnomad-public/release/3.0/vcf/
gnomadVcf,/groups/umcg-pmb/tmp01//apps/data/gnomAD/v3.1.1/gnomad.genomes.v3.1.1.sites.snpsift.vcf.gz
gnomadVcfIdx,${gnomadVcf}.tbi
gnomad312Vcf,/groups/umcg-pmb/tmp01/apps/data/gnomAD/v3.1.2/gnomad.genomes.v3.1.2.sites.vcf.gz
gnomad312VcfIdx,${gnomad312Vcf}.tbi


#clinvar
#ftp.ncbi.nlm.nih.gov/pub/clinvar/vcf_GRCh38/clinvar_20200210_Homo_sapiens_assembly38.vcf.gz 
#
clinvarDir,${data}/ftp.ncbi.nlm.nih.gov/pub/clinvar/vcf_GRCh38/
clinvarVcf,${clinvarDir}/clinvar_20200210_Homo_sapiens_assembly38.vcf.gz
clinvarVcfIdx,${clinvarVcf}.tbi
clinvarPapuVcf,${clinvarDir}/clinvar_20200210_Homo_sapiens_assembly38.vcf.gz
clinvarPapuVcfIdx,${clinvarPapuVcf}.tbi

#vcf
#oneKgP1wgsVcf,${data}/ftp-trace.ncbi.nih.gov/1000genomes/ftp/release/20130502/ALL.wgs.phase3_shapeit2_mvncall_integrated_v5b.20130502.sites.vcf.gz
#oneKgP1wgsVcfIdx,${oneKgP1wgsVcf}.tbi

#Cosmic 
cosmicDir,${data}/sftp-cancer.sanger.ac.uk/files/grch38/cosmic/
cosmicVersion,v90
cosmicVcf,${cosmicDir}/${cosmicVersion}/VCF/CosmicCodingMuts_Homo_sapiens_assembly38.vcf.gz
cosmicVcfIdx,${cosmicVcf}.tbi

#ichorCNA
#tabs cause comma's crash things
ichorcnaChromosomes,"chr1	chr2	chr3	chr4	chr5	chr6	chr7	chr8	chr9	chr10	chr11	chr12	chr13	chr14	chr15	chr16	chr17	chr18	chr19	chr20	chr21	chr22	chrX	chrY"
ichorcnaChrs,"c('chr1'	'chr2'	'chr3'	'chr4'	'chr5'	'chr6'	'chr7'	'chr8'	'chr9'	'chr10'	'chr11'	'chr12'	'chr13'	'chr14'	'chr15'	'chr16'	'chr17'	'chr18'	'chr19'	'chr20'	'chr21'	'chr22')"
#no chromosome 19
ichorcnaChrtrain,"c('chr1'	'chr2'	'chr3'	'chr4'	'chr5'	'chr6'	'chr7'	'chr8'	'chr9'	'chr10'	'chr11'	'chr12'	'chr13'	'chr14'	'chr15'	'chr16'	'chr17'	'chr18'	'chr20'	'chr21'	'chr22')"
mapability1000kbWig,map_hg38_1000kb.wig
mapability500kbWig,map_hg38_500kb.wig
#rna
genesRefFlat,${data}/ftp.ensembl.org/pub/release-${ensemblVersion}/gtf/homo_sapiens/${genomeLatSpecies}.${genomeGrchBuild}.${ensemblVersion}.refflat
rRnaIntervalList,${data}/ftp.ensembl.org/pub/release-${ensemblVersion}/gtf/homo_sapiens/${genomeLatSpecies}.${genomeGrchBuild}.${ensemblVersion}.rrna.interval_list
ensemblAnnotationGtf,${data}/ftp.ensembl.org/pub/release-${ensemblVersion}/gtf/homo_sapiens/${genomeLatSpecies}.${genomeGrchBuild}.${ensemblVersion}.gatk.gtf
ensemblAnnotationTes1000Gtf,${resDir}/gff/Homo_sapiens.GRCh37.75.tes1000.gff
ensemblAnnotationTes500Gtf,${resDir}/gff/Homo_sapiens.GRCh37.75.tes500.gff

#qdnaseq
qdnaseq1000kbpBins,/data/umcg-mterpstra/apps/data/QDNAseqBins/R-bundle-QDNAseq/1.14.0/bins1000kbp.Rds
qdnaseq100kbpBins,/data/umcg-mterpstra/apps/data/QDNAseqBins/R-bundle-QDNAseq/1.14.0/bins100kbp.Rds
qdnaseq200kbpBins,/data/umcg-mterpstra/apps/data/QDNAseqBins/R-bundle-QDNAseq/1.14.0/bins200kbp.Rds
qdnaseq5000kbpBins,/data/umcg-mterpstra/apps/data/QDNAseqBins/R-bundle-QDNAseq/1.14.0/bins5000kbp.Rds
qdnaseq500kbpBins,/data/umcg-mterpstra/apps/data/QDNAseqBins/R-bundle-QDNAseq/1.14.0/bins500kbp.Rds
qdnaseq50kbpBins,/data/umcg-mterpstra/apps/data/QDNAseqBins/R-bundle-QDNAseq/1.14.0/bins50kbp.Rds

#/groups/umcg-oncogenetics/prm02/data/resources/gff/Homo_sapiens.GRCh38.86.tes1000.gtf
#/groups/umcg-oncogenetics/prm02/data/resources/gff/Homo_sapiens.GRCh38.86.tes500.gtf
#hisat2
#actually ensembl based so might not be completely compatible .../bundle/bundle17jan2020/hg38/hisat2/2.2.0-foss-2018a
hisat2IdxBase,${bundle}/hisat2/2.2.0-foss-2018a/grch38_snp_tran
hisat2SpliceKnownTxt,${bundle}/hisat2/2.2.0-foss-2018a/${genomeLatSpecies}.${genomeGrchBuild}.${ensemblVersion}.hisat2_extract_splice_sites.tsv
